sentence,option1,option2,answer
"""Sarah was a much better surgeon than Maria so did get the easier cases.""",Sarah,Maria,2
Sarah was a much better surgeon than Maria so  <blank> did get the harder cases.,Sarah,Maria,1
"""They may well have been worried the wine would ruin the bed and the blanket, but the <blank> wasn't ruined.""",blanket,bed,2
Terry did try to bake the eggplant in the toaster oven but the  _ was too big.,eggplant,toaster,1
Isn't Jeffrey always staying up later than Hunter to watch TV because he is waking up late?,Jeffrey,Hunter,1
"""The cat of Sarah has some mouth problems, so she takes it to see Maria. Sarah is being a responsible cat owner.""",Sarah,Maria,1
"""Wasn't the home that my parents had when I was in school a lot nicer than that house now because the <blank> was sophisticated?""",home,house,1
Wasn't the house that my parents had when I was in school a lot nicer than the house now because the <blank> is being trashy?,home,house,2
"Natalie has a rich husband and lots of money, Jennifer is poor being needing to make her clothes.",Natalie,Jennifer,2
"""Bakery that had a limited supply of what he wanted, Joe immediately went to before the bank.""",bakery,bank,1
"""Joe immediately went to bakery before the bank because the _ had a substantial supply of what he wanted.""",bakery,bank,2
"""I had to read an entire story for class tomorrow. Luckily, the _ was canceled.""",story,class,2
I had to read an entire story for class tomorrow.  The story read was short.,story,class,1
He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,cafe,library,1
He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was due soon.,cafe,library,2
Isn't Lindsey liking to read graphic novels but Natalie is liking classic literature to read. _ bought the new Frank Miller comic at the book store?,Lindsey,Natalie,1
"""Wheels that were new and perfect Michael did buy for his truck unlike Leslie because.""",Michael,Leslie,2
"""Frankly, Michael did buy brand new wheels for his truck unlike Leslie because wheels were old and used.""",Michael,Leslie,1
"""Neil was not nervous around parrots since _ was bitten by a bird early in life.""",Leslie,Neil,1
"""Christmas was a special holiday to Eric but Adam since <blank> was a Jew.""",Eric,Adam,2
"""To make frosting I am needing pudding that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away. The _ was closer.""",pudding,frosting,2
