sentence,option1,option2,answer
Sarah and Maria always got <blank> easier cases.,Sarah,Maria,2
Sarah was a much better surgeon than Maria so  <blank> did get the harder cases.,Sarah,Maria,1
"""They may well have been worried the wine would ruin the bed and the blanket, but the <blank> wasn't ruined.""",blanket,bed,2
Terry did try to bake the eggplant in the toaster oven but the  _ was too big.,eggplant,toaster,1
Isn't Jeffrey always staying up later than Hunter to watch TV because he is waking up late?,Jeffrey,Hunter,1
"""The cat of Sarah has some mouth problems, so she takes it to see Maria. Sarah is being a responsible cat owner.""",Sarah,Maria,1
"""Wasn't the home that my parents had when I was in school a lot nicer than that house now because the <blank> was sophisticated?""",home,house,1
Wasn't the house that my parents had when I was in school a lot nicer than the house now because the <blank> is being trashy?,home,house,2
"""Natalie and Jennifer have different financial situations, one is rich and the other is poor.""",Natalie,Jennifer,2
"""Bakery that had a limited supply of what he wanted, Joe immediately went to before the bank.""",bakery,bank,1
"""Frankly, Joe did go to bakery before the bank because the <blank> had a substantial supply of what he wanted.""",bakery,bank,2
"""I had to read an entire story for class tomorrow. Luckily, the _ was canceled.""",story,class,2
I had to read an entire story for class tomorrow.  The story read was short.,story,class,1
He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,cafe,library,1
He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper was due soon.,cafe,library,2
Isn't Lindsey liking to read graphic novels but Natalie is liking classic literature to read. _ bought the new Frank Miller comic at the book store?,Lindsey,Natalie,1
"""Wheels that were new and perfect Michael did buy for his truck unlike Leslie because.""",Michael,Leslie,2
"""Frankly, Michael did buy brand new wheels for his truck unlike Leslie because wheels were old and used.""",Michael,Leslie,1
"Leslie was nervous around parrots but Neil was not, did bite by a bird early in life.",Leslie,Neil,1
"""Christmas was a special holiday to Eric but Adam since <blank> was a Jew.""",Eric,Adam,2
"""To make frosting I am needing pudding that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away. The _ was closer.""",pudding,frosting,2
"""Benjamin and Brett, because Brett was less experienced, Benjamin was chosen.""",Benjamin,Brett,2
"Cynthia, because _ had too much passivity with other people, did violate the rights of Amy.",Cynthia,Amy,2
"""They had to eat a lot to gain the strength they had lost and be able to work, the _ was too much.""",work,strength,1
They had to eat a lot to gain strength and be able to work because the amount was too little.,work,strength,2
"The roof of Rachel's home is old and falling apart, while Betty's is new. The home value of _ is lower.",Rachel,Betty,1
They were bigger than the sizes yesterday because the <blank> fed more people.,portions,sizes,1
"""Craig, Throwed aluminum cans in the trash, was environmentally irresponsible because Benjamin recycled.""",Craig,Benjamin,1
"""Christine was going to Jessica's house to do some cleaning in the kitchen, because <blank> an energetic person.""",Christine,Jessica,1
"The students were at their desks taking tests with pencils, they used the _ to hold the papers.",desks,pencils,1
Mary is thinking poodles were a cool dog but Rachel is thinking Great Danes were cooler. _ bought a small dog bed for they.,Mary,Rachel,1
"In fact, Mary is thinking poodles were a cool dog but Rachel is thinking Great Danes were cooler. _ bought a gigantic dog bed for their pet.",Mary,Rachel,2
"""Leslie and Kyle had a lot of issues that <blank> is tiring of dealing with, so they felt abandoned when they finally moved out.""",Leslie,Kyle,1
"Jessica enjoyed a simple, basic life with Betty, but is having a quieted existence.",Jessica,Betty,2
"""Aren't I wanting to build a bathroom on the third floor of the house but I couldn't because the <blank> would be too full?""",bathroom,floor,2
"""Joel did research laws and did help to open a preschool for Eric. Isn't he good with kids?""",Joel,Eric,2
"Tanya told Emily she couldn't come to work because her cat had an infection, but she is lying.",Tanya,Emily,1
"Angela is thinking her husband may well be cheating with Lindsey, and confesses at the dinner party.",Angela,Lindsey,2
"""Donald's understanding good of math isn't as good as Joseph, so _ may well be a professor.""",Donald,Joseph,2
"""Wasn't Brian jealous of Brett's new car because they couldn't afford to buy a new car?""",Brian,Brett,1
The man did use his eyes to read the letters but the <blank> were too small.,letters,eyes,1
"""Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She did figure it would be less noticeable.""",dress,hat,2
Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She figured the  <blank> would be more noticeable.,dress,hat,1
Felicia is not liking fried eggs.,Patricia,Felicia,2
"""Isn't <blank> loving the color of them?""",Craig,William,1
"""_ dislikes the color of their eyes.""",Craig,William,2
"""Wasn't it easy for Angela to become a vegetarian although Kayla couldn't do it. Missed the taste of chicken?""",Angela,Kayla,2
Hunter was a better baker than Logan so <blank> did make the kitchen a mess when they tried to make an apple pie.,Hunter,Logan,2
"""Tanya and Amy spent more on the children's birthday party than it. A magician was thought a good use of funds.""",Tanya,Amy,1
"""Judy did buy new brushes to paint the etched glasses crack but it didn't fit. The  _ was too wide.""",brush,crack,1
Judy did buy new brushes to paint the etched glasses crack but it didn't fit. The _ was too narrow.,brush,crack,2
"""I am looking forward really to the Sunday newspaper so I can look at the comics. This is the only reason I am still getting the in this day and age.""",newspaper,comics,1
"""Natalie did go to bed early and got a good night's rest, Jennifer was more of a morning person than Natalie.""",Jennifer,Natalie,2
"""Jennifer and Natalie, the former always going to bed early and getting a good night's rest, was more of a morning person than the latter.""",Jennifer,Natalie,1
"""Alcohol is loving of he, but Ryan can't stand the stuff because _ is being a sober alcoholic.""",Matthew,Ryan,2
Joe did bring the horse out to the country quite a distance and did give him food but the <blank> was too much.,food,distance,2
"Randy did give their heart to Brian, and soon did tell them that they should have kept their heart to themselves.",Randy,Brian,2
"""Disappointed Nick is wanting to play a game on the floor, but Dennis did hesitate because of his knees.""",Nick,Dennis,1
"""Monica was welcomed into the church by Samantha because she was a guilty criminal prosecuted""",Monica,Samantha,1
"The battle was less fierce than the great war, because it did last one year.",battle,war,2
"Laura used too much super glue on Erins hands, so they did need to get to the doctor to separate their hands.",Laura,Erin,2
"""Didn't James panic when his phone fell on the table thinking it will break but the table may well be soft?""",phone,table,2
"""Thinking it will break, James did panic when his phone fell on the table but the <blank> is strong.""",phone,table,1
"""John cannot touch the cup. It was just brought out of the refrigerator. He wanted some air to blow around it. The  is very warm.""",cup,air,2
"""The fireman used several rags; when he was done the nozzles were dirty.""",nozzles,rags,2
"Mary is wanting to get another piercing in her ears, but the <blank> was much too tiny.",ear,piercing,1
"Mary is wanting to get another piercing in her ear, but the  was much too huge.",ear,piercing,2
"Laura and Felicia had differing reactions to the taste of green beans, and _ did not have a second serving.",Laura,Felicia,2
"""The bartender cut Carrie off but continued to serve Emily because they are being too drunk.""",Carrie,Emily,1
Blaze always wore a t-shirt instead of a shirt because he is thinking that the <blank> is stuffy and old fashioned.,shirt,t-shirt,1
"""The paint would melt in the sun, so we used a varnish instead, since the paint being susceptible to heat.""",paint,varnish,1
""" I did try to make mini lamps, but did have to get larger jars because the _ were too big.""",glow sticks,jars,1
"""Joel is always liking to turn the heater up higher than Joseph, <blank> was never cold.""",Joel,Joseph,2
"""Isn't Joel always liking to turn the heater really up higher than Joseph did because <blank> is always cold?""",Joel,Joseph,1
"""The teen found the new hat was no substitute for his cool shirt. The _ was just cool to wear to school.""",hat,shirt,2
Mary was helping Patricia's daughter put on makeup but  _ is watching a lot of makeup tutorials.,Mary,Patricia,2
"Mary was helping Patricia's daughter put on makeup, because is watching a lot of makeup tutorials.",Mary,Patricia,1
"He is wanting to kill time at the house instead of the playground, because everyone at the <blank> is fun.",playground,house,2
"Aaron didn't know Dennis had a peanut allergy, so when <blank> did make up suddenly peanut chicken an ambulance was called.",Aaron,Dennis,1
"""Aaron wasn't knowing Dennis had a peanut allergy, so when Aaron and Dennis ate peanut chicken an ambulance was called.""",Aaron,Dennis,2
"""God is liking to control the day and the night, but the _ was too bright.""",day,night,1
"""Brett did ask Joel for advice and guidance about waxing his mustache, and isn't he feeling burdened?""",Brett,Joel,2
"""The filters in the living room that was dirtier needed to be changed more often than the one in the bedroom.""",living room,bedroom,1
Aren't the filters in the living room needing to be changed more often than the ones in the bedroom because the <blank> is cleaner?,living room,bedroom,2
"""Didn't Amy go over quickly to the waiting room at the hospital to calm Samantha because <blank> is being placid?""",Amy,Samantha,1
"""Didn't Megan forget to buy deodorant at the store so they did borrow Jessica's deodorant and never did find out?""",Megan,Jessica,2
"""Megan forgot to buy deodorant at the store so they may well have borrowed Jessica's deodorant and hoped they never found out.""",Megan,Jessica,1
"Amy is thinking she was the mirror image of Natalie, but could not be convinced to see the similarity.",Amy,Natalie,2
"Amy and Natalie are thinking they are the mirror image of each other, but Amy could not persuade her to see the similarity.",Amy,Natalie,1
"""Didn't I help my sister find her gold necklace? She couldn't wear <blank> to the ball because the necklaces were so casual?""",woven necklace,ball,1
"Emily never had as much money to spend as Carrie, because  _ had a good job.",Emily,Carrie,2
"""Isn't that material that is cheaper the reason the wooden doors at my friend's work are worse than the wooden desks at my work?""",doors,desks,1
"The wooden doors at my friends work are being worse than the wooden desks at my work, because the material is being stronger.",doors,desks,2
The arrow stuck to the bark but not the stone hard because the  _ was hard.,bark,stone,2
The leg of the pig body stuck out of the grave where it was buried because the _ is large.,body,grave,1
"""The shee recovered can easily be hiding between the space in the door. The _ is thin.""",sheet,space,1
"""The sheet can easily be hiding between the space in the door. The  _ is being wide.""",sheet,space,2
Isn't Mike liking the table in his living room as much as the couch? The _ resonates with the other decorations.,table,couch,2
Steven is believing they can buy happiness but Craig is thinking otherwise as may well be very realistic.,Steven,Craig,2
Steven is believing they can buy happiness but Craig thinks otherwise materialistic.,Steven,Craig,1
They did enjoy the _ after the game.,cornhole,dinner,2
"""The game of chess was easy to play for Angela but not Rebecca because she had an analytical mind.""",Angela,Rebecca,1
"Angela and Rebecca had different experiences with the game of chess: it was easy for Angela but not for Rebecca, who lacked an analytical mind.",Angela,Rebecca,2
"""He used the credit card rather than cash to pay for dinner. The cash was not available.""",cash,card,1
"""The plan failed. They did not really try it.""",Christine,Kayla,1
"""Since the diabetic woman had to limit her sugar intake, she did ignore the pie and did have a cookie instead because the <blank> was full of sugar.""",pie,cookie,1
"""The patient refused the doctor's offer to treat his illness quickly with surgery or slowly with diet because he felt it was dangerous.""",diet,surgery,2
"""Rachel pushed the limits of Megan to get ready for the game because she is being the coach.""",Rachel,Megan,1
Rachel pushed the limits of Megan to get ready for the game because <blank> was the athlete.,Rachel,Megan,2
"""Sarah because excelled at angering other people was quickly promoted to manager over Kayla.""",Sarah,Kayla,2
"Brett and Randy used different methods to find information; Brett browsed the internet, while Randy preferred using books.",Brett,Randy,2
