Language_ID,Parameter_ID,Value
Orkney and Shetland English,She/her used for inanimate referents,B
Scottish English,She/her used for inanimate referents,B
Irish English,She/her used for inanimate referents,B
Manx English,She/her used for inanimate referents,C
Welsh English,She/her used for inanimate referents,B
English dialects in the North of England,She/her used for inanimate referents,C
English dialects in the Southwest of England,She/her used for inanimate referents,C
East Anglian English,She/her used for inanimate referents,C
English dialects in the Southeast of England,She/her used for inanimate referents,D
Channel Islands English,She/her used for inanimate referents,C
British Creole,She/her used for inanimate referents,D
Maltese English,She/her used for inanimate referents,C
Newfoundland English,She/her used for inanimate referents,A
Colloquial American English,She/her used for inanimate referents,C
Urban African American Vernacular English,She/her used for inanimate referents,C
Rural African American Vernacular English,She/her used for inanimate referents,C
Earlier African American Vernacular English,She/her used for inanimate referents,D
Ozark English,She/her used for inanimate referents,B
Appalachian English,She/her used for inanimate referents,D
Southeast American enclave dialects,She/her used for inanimate referents,B
Gullah,She/her used for inanimate referents,C
Chicano English,She/her used for inanimate referents,?
Bahamian English,She/her used for inanimate referents,B
Bahamian Creole,She/her used for inanimate referents,D
Barbadian Creole (Bajan),She/her used for inanimate referents,A
Jamaican English,She/her used for inanimate referents,D
Jamaican Creole,She/her used for inanimate referents,C
San Andrés Creole,She/her used for inanimate referents,D
Belizean Creole,She/her used for inanimate referents,D
Guyanese Creole (Creolese),She/her used for inanimate referents,C
Eastern Maroon Creole,She/her used for inanimate referents,X
Saramaccan,She/her used for inanimate referents,X
Sranan,She/her used for inanimate referents,D
Trinidadian Creole,She/her used for inanimate referents,D
Vincentian Creole,She/her used for inanimate referents,C
Krio (Sierra Leone Creole),She/her used for inanimate referents,X
Liberian Settler English,She/her used for inanimate referents,D
Vernacular Liberian English,She/her used for inanimate referents,D
Ghanaian English,She/her used for inanimate referents,D
Ghanaian Pidgin,She/her used for inanimate referents,X
Nigerian English,She/her used for inanimate referents,D
Nigerian Pidgin,She/her used for inanimate referents,X
Cameroon English,She/her used for inanimate referents,D
Cameroon Pidgin,She/her used for inanimate referents,X
Tanzanian English,She/her used for inanimate referents,D
Kenyan English,She/her used for inanimate referents,C
Ugandan English,She/her used for inanimate referents,D
White Zimbabwean English,She/her used for inanimate referents,D
Black South African English,She/her used for inanimate referents,C
Indian South African English,She/her used for inanimate referents,D
White South African English,She/her used for inanimate referents,C
Indian English,She/her used for inanimate referents,D
Pakistani English,She/her used for inanimate referents,D
Butler English,She/her used for inanimate referents,B
Sri Lankan English,She/her used for inanimate referents,D
Hong Kong English,She/her used for inanimate referents,D
Colloquial Singapore English (Singlish),She/her used for inanimate referents,D
