id,question,choices,answerKey
Mercury_7175875,"A space expert sees that a planet turns, faster, after a rock from space hits it. Which is the most likely effect of this increase in turning?","{'text': ['Planetary density will decrease.', 'Planetary years will become longer.', 'Planetary days will become shorter.', 'Planetary gravity will become stronger.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_409171,"""They are wanting to know how different building designs would respond during an earthquake. They did make several models of buildings and did test each for its ability to withstand earthquake conditions. Which will most likely result from testing these ones?""","{'text': ['buildings will be built faster', 'buildings will be made safer', 'building designs will look nicer', 'building materials will be cheaper'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2006_9_44,"""An astronaut was dropped a 1.0 kg object and a 5.0 kg object on the Moon. Both these ones did fall a complete distance of 2.0 m up and down. Which of the next best describes these ones after they did fall a distance of 1.0 m?""","{'text': ['They have each lost kinetic energy.', 'They have each gained the same amount of potential energy.', 'They have each lost the same amount of potential energy.', 'They have each gained one-half of their maximum kinetic energy.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_407327,"Essentially, Devil face tumor disease (DFTD) is killing the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by these ones. These ones cause growths bad that spread all over an sick animal's body and kill it. What is the best description of DFTD?","[{'text': ['the control', 'the hypothesis statement', 'the dependent (responding) variable', 'the independent (manipulated) variable'], 'label': ['A', 'B', 'C', 'D']}]",D
MCAS_2014_5_7,"""A animal small from the mountain regions of the American west can make its home out of heaps of rock plus during summer months, the animal put grass and a seed in safe places in the heaps of rock's.""","{'text': ['to repare for migration before winter', 'to provide warmth during the cold winter months', 'to store food that will be eaten over the winter months', 'to protect the grasses and seeds from decay before winter'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7168805,"""Farmers worried, farmers in Wyoming did worry seriously about some of their chickens's being eaten by hawks that lived in areas around their farms. The farmers did group together and did chase those ones until they were no longer in their area. Which would most likely happen after that?""","{'text': ['The chicken population would go down.', 'Populations of mice and rats would increase.', 'Another bird of prey would replace the hawk.', 'The chickens would have a lower rate of disease.'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2003_8_11,"""Copper are a thing used in electrical threads. What is the smallest unit of copper still it keeping the features of which?""","{'text': ['the atom', 'the electron', 'the nucleus', 'the proton'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7012740,Which statement best describe the effect of the Sun on the oceans?,"{'text': ['The Sun influences the formation of waves.', 'The Sun creates water particles.', ""The Sun's rays cause organisms to come to the surface."", 'The Sun provides minerals.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_LBS10610,"""The morning temperature in a city is 41°F. If sunny mild a day is forecast, which temperature is most likely for 2:00 p.m.?""","{'text': ['32° F', '41° F', '78° F', '98° F'], 'label': ['A', 'B', 'C', 'D']}",C
MCAS_2003_8_11,A class plans an investigation to see which brand of light bulb lasts the longest. Which of these steps should come first?,"[{'text': ['the atom', 'the electron', 'the nucleus', 'the proton'], 'label': ['A', 'B', 'C', 'D']}]",A
