sentence,option1,option2,answer
"Sarah, she much better, was a surgeon than Maria so did get the easier cases.",Sarah,Maria,2
"Frankly, Sarah better was a surgeon than Maria so always got the harder cases.",Sarah,Maria,1
"At night, Jeffrey stays up later than Hunter is waking to watch TV because _ is waking up late to.",blanket,bed,2
"The cat Sarah has some mouth problems, so she is taking to see Maria. is responsibled cat owner.",eggplant,toaster,1
"""Home when I was in school my parents had was a lot nicer than my house now because the <blank> was sophisticated.""",home,house,1
Nicer the home my parents had when I was in school was than my house now plus it is trashy.,home,house,2
"Natalie has a husband rich and lots these ones, plus Jennifer is poor and she is needing to make clothes.",Natalie,Jennifer,2
I had to read an entire story for class tomorrow. It was short.,story,class,1
He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,Natalie,Jennifer,2
"""He has enough time between classes to go to a cafe or to the library. He goed to the _ because his paper was due soon.""",cafe,library,2
"""Michael did buy brand new wheels, for his truck unlike Leslie because their ones were new and perfect.""",Michael,Leslie,2
"""Michael do buy wheels, brand new, for his truck unlike Leslie's wheels, old and used.""",Michael,Leslie,1
"Leslie were nervous around parrots but Neil wasn't, since he was bitten by a bird early in life.",story,class,1
"""Christmas is a holiday special to Eric plus not Adam considering he was a Jew.""",Eric,Adam,2
Benjamin was chosen in of Brett's to be the makeup artist for the play because _ was less experienced.,cafe,library,2
"""Cynthia did violate the rights of Amy, who was passive with other people.""",Lindsey,Natalie,1
"They had to eat a lot to gain up the strength to and be able to work, the _ was too much.",work,strength,1
"They had to eat a lot to gain the strength they had lost and be able to work, towards <blank> was too little.",work,strength,2
"Rachel's home is falling to pieces is, but Betty's is new. The home value of <blank>'s is less.""",Leslie,Neil,1
"""The portions of food's is bigger than the sizes yesterday because they did feed more people.""",Eric,Adam,2
"Christine was going to Jessica house to do some cleaning in the kitchen, because energetic the person was.",pudding,frosting,2
"Actually, The students at their desks' were taking tests with pencils, they did use these ones to actually hold up the papers.",desks,pencils,1
Mary thinking poodles are a cool dog but Rachel thinking Great Danes are cool _ did buy for their pet a small dog bed.,Cynthia,Amy,2
_ did buy for their pet a big dog's bed. Mary did think poodles were a cool dog but Rachel did think Great Danes were cooler.,work,strength,1
"""Frankly, Leslie had a lot of issues Kyle was tired of dealing with of, so is feeling abandoned when they finally moved out.""",work,strength,2
"""Jessica bored enjoyed a  life, simple, basic with Betty, but she is boring having a quiet life.""",Jessica,Betty,2
I am wanting to build a bathroom on the third floor of the house's but I couldn't because the <blank> would be too full.,bathroom,floor,2
"""Joel did research laws and did help to open a preschool for Eric, with kids. Because Joel is very good with kids.""",Joel,Eric,2
"""Tanya tell Emily she couldn't come to work because her cat had an infection, but _ was lying.""",Craig,Benjamin,1
"Angela is thinking her husband might be cheating with Lindsey, and confesses at the dinner party.",Christine,Jessica,1
"""Donald's understanding of math isn't as good as Joseph's, so he's more likely to be a professor.""",desks,pencils,1
Brian were jealous of Brett's car new because <blank> couldn't afford to buy a new car.,Brian,Brett,1
The man use his eyes to read the letters but the _ were too small.,letters,eyes,1
